variant,preset,scope,rank,images,accuracy,precision,recall,f1,micro_accuracy,theilU,coverage
torch,north_europe_v3,all,species,58640,0.704628249754435,0.24730856379330513,0.704628249754435,0.2368364750172347,0.7031548431105048,0.9297081356830714,1.0
torch,north_europe_v3,all,genus,58640,0.8000993660812793,0.30404516864512815,0.8000993660812793,0.30405829620707303,0.7888472032742155,0.9278811825938204,1.0
torch,north_europe_v3,all,family,58640,0.8066151835359162,0.26911334290120537,0.8066151835359162,0.27317213148165537,0.9288540245566167,0.8463131556985152,1.0
torch,north_europe_v3,known,species,50598,0.7269089849245357,0.2516551965945558,0.7269089849245357,0.24302911458287843,0.8149136329499189,0.9329238752080722,1.0
torch,north_europe_v3,known,genus,58640,0.8000993660812793,0.30404516864512815,0.8000993660812793,0.30405829620707303,0.7888472032742155,0.9278811825938204,1.0
torch,north_europe_v3,known,family,58640,0.8066151835359162,0.26911334290120537,0.8066151835359162,0.27317213148165537,0.9288540245566167,0.8463131556985152,1.0
torch,europe_v3,all,species,58640,0.6886240058738285,0.21178593938637336,0.6886240058738285,0.1978902721150327,0.6879945429740791,0.9323203923796567,1.0
torch,europe_v3,all,genus,58640,0.7907596138745981,0.25597447312765065,0.7907596138745981,0.25283249885833836,0.7779331514324693,0.9297196214314329,1.0
torch,europe_v3,all,family,58640,0.804801469829159,0.25018741937505296,0.804801469829159,0.25394065720716125,0.9252899045020464,0.8382838670363196,1.0
torch,europe_v3,known,species,50598,0.7103986779963212,0.2164221653533803,0.7103986779963212,0.20351606400355202,0.7973437685284004,0.9362292436999937,1.0
torch,europe_v3,known,genus,58640,0.7907596138745981,0.25597447312765065,0.7907596138745981,0.25283249885833836,0.7779331514324693,0.9297196214314329,1.0
torch,europe_v3,known,family,58640,0.804801469829159,0.25018741937505296,0.804801469829159,0.25394065720716125,0.9252899045020464,0.8382838670363196,1.0
onnx,north_europe,all,species,58640,0.7123551106111988,0.2634302800489512,0.7123551106111988,0.25432102340018437,0.7078444747612551,0.9282787583085454,1.0
onnx,north_europe,all,genus,58640,0.805001260196705,0.3188298295664697,0.805001260196705,0.3212342539755369,0.7936221009549795,0.9270081304640697,1.0
onnx,north_europe,all,family,58640,0.8106416408810809,0.27563597431734277,0.8106416408810809,0.28076917349510716,0.9298601637107776,0.8488811049574605,1.0
onnx,north_europe,known,species,50598,0.7348801733973236,0.26759865685833206,0.7348801733973236,0.26071387372659355,0.8203486303806474,0.931297601666784,1.0
onnx,north_europe,known,genus,58639,0.8075090522845452,0.31885723521848236,0.8075090522845452,0.32170684925385246,0.7936356349869541,0.9270216229111814,1.0
onnx,north_europe,known,family,58640,0.8106416408810809,0.27563597431734277,0.8106416408810809,0.28076917349510716,0.9298601637107776,0.8488811049574605,1.0
onnx,europe,all,species,58640,0.6906260019361401,0.21297537840475272,0.6906260019361401,0.19968247097445052,0.6894952251023192,0.9327107183368355,1.0
onnx,europe,all,genus,58640,0.7928148275159873,0.25814705246049136,0.7928148275159873,0.2556792223856105,0.7794338335607094,0.9303898466600729,1.0
onnx,europe,all,family,58640,0.8063031248841592,0.25176260717979065,0.8063031248841592,0.25564879210539354,0.928581173260573,0.8413915880115065,1.0
onnx,europe,known,species,50598,0.712463978281947,0.21739674629675512,0.712463978281947,0.2051505331795797,0.7990829677062334,0.9360902428349954,1.0
onnx,europe,known,genus,58640,0.7928148275159873,0.25814705246049136,0.7928148275159873,0.2556792223856105,0.7794338335607094,0.9303898466600729,1.0
onnx,europe,known,family,58640,0.8063031248841592,0.25176260717979065,0.8063031248841592,0.25564879210539354,0.928581173260573,0.8413915880115065,1.0
onnx,full,all,species,58640,0.5803258635150937,0.11940183392320727,0.5803258635150937,0.09730444648358827,0.5842769440654844,0.9381877433883671,1.0
onnx,full,all,genus,58640,0.7132927172304062,0.139506013324115,0.7132927172304062,0.12688882216850472,0.7058321964529332,0.9279129375668055,1.0
onnx,full,all,family,58640,0.7842061134551048,0.18845606769929624,0.7842061134551048,0.1937730887900641,0.9030695770804912,0.8032163508659165,1.0
onnx,full,known,species,50598,0.5986760884483774,0.12359009712973944,0.5986760884483774,0.10075026693576739,0.677141388987707,0.9437018925013999,1.0
onnx,full,known,genus,58640,0.7132927172304062,0.139506013324115,0.7132927172304062,0.12688882216850472,0.7058321964529332,0.9279129375668055,1.0
onnx,full,known,family,58640,0.7842061134551048,0.18845606769929624,0.7842061134551048,0.1937730887900641,0.9030695770804912,0.8032163508659165,1.0
onnx,north_europe_v3,all,species,58640,0.70490721102182,0.24693597388838318,0.70490721102182,0.23654830838429805,0.703206002728513,0.9297283074523651,1.0
onnx,north_europe_v3,all,genus,58640,0.7998011634423278,0.304018206726156,0.7998011634423278,0.3048604148769131,0.7889324693042292,0.9279871144012297,1.0
onnx,north_europe_v3,all,family,58640,0.8066719936597678,0.26915209911986615,0.8066719936597678,0.2732530547620374,0.9289392905866303,0.8462225486926431,1.0
onnx,north_europe_v3,known,species,50598,0.7271967671015613,0.2512627097909782,0.7271967671015613,0.24271540486034088,0.8149729238309814,0.9329324973505538,1.0
onnx,north_europe_v3,known,genus,58640,0.7998011634423278,0.304018206726156,0.7998011634423278,0.3048604148769131,0.7889324693042292,0.9279871144012297,1.0
onnx,north_europe_v3,known,family,58640,0.8066719936597678,0.26915209911986615,0.8066719936597678,0.2732530547620374,0.9289392905866303,0.8462225486926431,1.0
onnx,europe_v3,all,species,58640,0.6887960648645841,0.21168953424574674,0.6887960648645841,0.19783273588838454,0.6880627557980901,0.9322918377735964,1.0
onnx,europe_v3,all,genus,58640,0.7908120470589387,0.2560315293300679,0.7908120470589387,0.2529767781457853,0.7779672578444747,0.9297404742905871,1.0
