model,scope,rank,cutoff,domain,class_count,truth_images_in_retained_classes,accepted_predictions_in_retained_classes,report_images,overall_coverage,accuracy,precision,recall,f1
v2,zero,family,5,per_model,20,52783,52241,52788,1.0,0.8700294236802284,0.8073706420034539,0.8700294236802284,0.8237730542270191
v2,zero,family,5,common,20,52783,52241,52788,1.0,0.8700294236802284,0.8073706420034539,0.8700294236802284,0.8237730542270191
torch,zero,family,5,per_model,20,52783,51891,52788,1.0,0.8570482156298184,0.7593390669412071,0.8570482156298184,0.7831492631501338
torch,zero,family,5,common,20,52783,51891,52788,1.0,0.8570482156298184,0.7593390669412071,0.8570482156298184,0.7831492631501338
onnx,zero,family,5,per_model,20,52783,51893,52788,1.0,0.8572274253215421,0.7604089989497506,0.8572274253215421,0.7843304363763831
onnx,zero,family,5,common,20,52783,51893,52788,1.0,0.8572274253215421,0.7604089989497506,0.8572274253215421,0.7843304363763831
torch-tta,zero,family,5,per_model,20,52783,52402,52788,1.0,0.8932186151928605,0.8280730113019039,0.8932186151928605,0.8505612212541586
torch-tta,zero,family,5,common,20,52783,52402,52788,1.0,0.8932186151928605,0.8280730113019039,0.8932186151928605,0.8505612212541586
onnx-tta,zero,family,5,per_model,20,52783,52403,52788,1.0,0.8932164863184111,0.8275326880655373,0.8932164863184111,0.850198428985235
onnx-tta,zero,family,5,common,20,52783,52403,52788,1.0,0.8932164863184111,0.8275326880655373,0.8932164863184111,0.850198428985235
v2,zero,family,10,per_model,20,52783,52241,52788,1.0,0.8700294236802284,0.8073706420034539,0.8700294236802284,0.8237730542270191
v2,zero,family,10,common,20,52783,52241,52788,1.0,0.8700294236802284,0.8073706420034539,0.8700294236802284,0.8237730542270191
torch,zero,family,10,per_model,20,52783,51891,52788,1.0,0.8570482156298184,0.7593390669412071,0.8570482156298184,0.7831492631501338
torch,zero,family,10,common,20,52783,51891,52788,1.0,0.8570482156298184,0.7593390669412071,0.8570482156298184,0.7831492631501338
onnx,zero,family,10,per_model,20,52783,51893,52788,1.0,0.8572274253215421,0.7604089989497506,0.8572274253215421,0.7843304363763831
onnx,zero,family,10,common,20,52783,51893,52788,1.0,0.8572274253215421,0.7604089989497506,0.8572274253215421,0.7843304363763831
torch-tta,zero,family,10,per_model,20,52783,52402,52788,1.0,0.8932186151928605,0.8280730113019039,0.8932186151928605,0.8505612212541586
torch-tta,zero,family,10,common,20,52783,52402,52788,1.0,0.8932186151928605,0.8280730113019039,0.8932186151928605,0.8505612212541586
onnx-tta,zero,family,10,per_model,20,52783,52403,52788,1.0,0.8932164863184111,0.8275326880655373,0.8932164863184111,0.850198428985235
onnx-tta,zero,family,10,common,20,52783,52403,52788,1.0,0.8932164863184111,0.8275326880655373,0.8932164863184111,0.850198428985235
v2,zero,family,20,per_model,17,52742,52159,52788,1.0,0.8777980291519171,0.8618479765055044,0.8777980291519171,0.8634797826579268
v2,zero,family,20,common,17,52742,52159,52788,1.0,0.8777980291519171,0.8618479765055044,0.8777980291519171,0.8634797826579268
torch,zero,family,20,per_model,17,52742,51776,52788,1.0,0.8761006803143303,0.8444656509344528,0.8761006803143303,0.8502787174152917
torch,zero,family,20,common,17,52742,51776,52788,1.0,0.8761006803143303,0.8444656509344528,0.8761006803143303,0.8502787174152917
onnx,zero,family,20,per_model,17,52742,51781,52788,1.0,0.8763115152457701,0.8445713671430294,0.8763115152457701,0.8504835558317285
onnx,zero,family,20,common,17,52742,51781,52788,1.0,0.8763115152457701,0.8445713671430294,0.8763115152457701,0.8504835558317285
torch-tta,zero,family,20,per_model,17,52742,52332,52788,1.0,0.9186540915649681,0.8978901347538473,0.9186540915649681,0.9040916328480296
torch-tta,zero,family,20,common,17,52742,52332,52788,1.0,0.9186540915649681,0.8978901347538473,0.9186540915649681,0.9040916328480296
onnx-tta,zero,family,20,per_model,17,52742,52333,52788,1.0,0.9186515870067923,0.897254460358122,0.9186515870067923,0.903664818414002
onnx-tta,zero,family,20,common,17,52742,52333,52788,1.0,0.9186515870067923,0.897254460358122,0.9186515870067923,0.903664818414002
v2,optimized,species,-1,per_model,690,52788,36810,52788,0.6973175721754944,0.8465208024160925,0.6381169943670084,0.5418132969389368,0.4466755276813748
torch,optimized,species,-1,per_model,654,52788,37381,52788,0.7081344244904145,0.8669405316273155,0.7028135267405738,0.5774611074285403,0.5081384528044552
onnx,optimized,species,-1,per_model,650,52788,37191,52788,0.7045351216185497,0.8695378035260483,0.7088741319668206,0.5752968296743217,0.5099648536812272
torch-tta,optimized,species,-1,per_model,641,52788,42843,52788,0.8116049102068652,0.8633843418309688,0.7190416496691577,0.6588299780195079,0.5661066449155471
onnx-tta,optimized,species,-1,per_model,641,52788,42930,52788,0.8132530120481928,0.8635268756201978,0.7198655161183526,0.6615516920144863,0.5675578092246024
v2,optimized,species,5,per_model,281,42875,31091,52788,0.6973175721754944,0.949227254623375,0.943736867068747,0.6916423088644161,0.7737956953842567
v2,optimized,species,5,common,273,42787,31030,52788,0.6973175721754944,0.9523181631837667,0.9510141862019456,0.696639527553125,0.7800052421246759
torch,optimized,species,5,per_model,288,44180,31486,52788,0.7081344244904145,0.9604545336634476,0.9622152512833568,0.7039086159930352,0.7910306156942064
torch,optimized,species,5,common,273,42787,30983,52788,0.7081344244904145,0.9636278309815087,0.9627691640571292,0.7169541525627774,0.8016362227458123
onnx,optimized,species,5,per_model,287,44173,31341,52788,0.7045351216185497,0.9610226296998533,0.9619757519565229,0.7010200481362973,0.7888306624960767
onnx,optimized,species,5,common,273,42787,30851,52788,0.7045351216185497,0.9643815594419234,0.9628304211425756,0.7147377382773606,0.800104314691979
torch-tta,optimized,species,5,per_model,299,44421,36047,52788,0.8116049102068652,0.9603653330244,0.9597405841266853,0.790768730570598,0.8516449621343269
torch-tta,optimized,species,5,common,273,42787,35192,52788,0.8116049102068652,0.9639495772208692,0.9616309429747886,0.8034434173226027,0.8618831738738654
onnx-tta,optimized,species,5,per_model,299,44421,36110,52788,0.8132530120481928,0.9601405781654884,0.9596554572863384,0.7921758700534698,0.8525263322194031
onnx-tta,optimized,species,5,common,273,42787,35252,52788,0.8132530120481928,0.963707047522958,0.9615027455443487,0.8048549427987153,0.8627190954298332
v2,optimized,species,10,per_model,243,42227,30743,52788,0.6973175721754944,0.953448505161714,0.9544450850263946,0.7134225852923751,0.7961537592407799
v2,optimized,species,10,common,237,42021,30611,52788,0.6973175721754944,0.9552371110145412,0.9586140054758544,0.7164050701636104,0.8009004286169517
torch,optimized,species,10,per_model,255,43584,31151,52788,0.7081344244904145,0.963686280781054,0.9676952538780558,0.7171112436175308,0.8061491380093966
torch,optimized,species,10,common,237,42021,30528,52788,0.7081344244904145,0.9673296490095744,0.9672615516732053,0.7266753942187194,0.8138865890143704
onnx,optimized,species,10,per_model,255,43584,31014,52788,0.7045351216185497,0.9644807475606031,0.9677553930474767,0.7146917879143063,0.8044523205064156
onnx,optimized,species,10,common,237,42021,30399,52788,0.7045351216185497,0.9681978678690395,0.9673496769410929,0.7245547988604122,0.812427697268594
torch-tta,optimized,species,10,per_model,272,44032,35745,52788,0.8116049102068652,0.96173064446984,0.9639011820682567,0.7946782620839412,0.8587308953151547
torch-tta,optimized,species,10,common,237,42021,34617,52788,0.8116049102068652,0.9662994503676685,0.9671449526169773,0.8130146967116284,0.8731615665583466
onnx-tta,optimized,species,10,per_model,272,44032,35808,52788,0.8132530120481928,0.9614835793859626,0.9638076051371401,0.7962250808537157,0.8596997543424995
onnx-tta,optimized,species,10,common,237,42021,34676,52788,0.8132530120481928,0.9661761234598567,0.9669972821591288,0.8146008253728714,0.8740844405084152
v2,optimized,species,20,per_model,190,40924,29917,52788,0.6973175721754944,0.9610844376490718,0.9546242144015308,0.720024084306013,0.8034606105897976
v2,optimized,species,20,common,180,40455,29626,52788,0.6973175721754944,0.9646484348350589,0.9605971055104869,0.7264566019960785,0.8110366999373768
torch,optimized,species,20,per_model,194,41945,30249,52788,0.7081344244904145,0.9726536166037543,0.9673028973830733,0.7249718216154226,0.8139613934096738
torch,optimized,species,20,common,180,40455,29545,52788,0.7081344244904145,0.9744003816755382,0.9682799478546156,0.7355230038915617,0.8220522350709071
onnx,optimized,species,20,per_model,193,41892,30094,52788,0.7045351216185497,0.9730113961424189,0.9672414097720884,0.7241073248627131,0.8134845543532351
onnx,optimized,species,20,common,180,40455,29417,52788,0.7045351216185497,0.9749535854270197,0.9683959794573341,0.7328357084727255,0.8202403740616799
torch-tta,optimized,species,20,per_model,208,42698,34800,52788,0.8116049102068652,0.9690231333557542,0.9664275821917379,0.8041659814144588,0.8667271886805571
torch-tta,optimized,species,20,common,180,40455,33471,52788,0.8116049102068652,0.9745037354217521,0.9676455135705991,0.8221975995005899,0.8798559733558071
onnx-tta,optimized,species,20,per_model,208,42698,34860,52788,0.8132530120481928,0.9690034400769387,0.9662594248129517,0.8055424722904401,0.8675612517319938
onnx-tta,optimized,species,20,common,180,40455,33526,52788,0.8132530120481928,0.974385117261553,0.9674510808010985,0.8234979435636558,0.8805603057062933
v2,optimized,genus,-1,per_model,379,52788,36853,52788,0.6981321512464954,0.9533632911945014,0.784792371905105,0.6176629588211429,0.5868633065886133
torch,optimized,genus,-1,per_model,398,52788,39989,52788,0.7575395923315905,0.9547996220084877,0.745381822803767,0.678410498949023,0.6019267109931725
onnx,optimized,genus,-1,per_model,395,52788,39784,52788,0.7536561339698417,0.9551874761942367,0.7523387061411551,0.6745698413302063,0.6043210367725153
torch-tta,optimized,genus,-1,per_model,383,52788,44511,52788,0.8432030006819732,0.95774560113418,0.7891877764219916,0.7626880651777854,0.6776129515770071
onnx-tta,optimized,genus,-1,per_model,384,52788,44504,52788,0.843070394786694,0.9578599395148406,0.7876914346408369,0.7626601078847843,0.67596735754951
v2,optimized,genus,5,per_model,221,51350,34216,52788,0.6981321512464954,0.9716616552337888,0.9644034675161717,0.6868834008659555,0.7807696866753272
v2,optimized,genus,5,common,215,46868,34160,52788,0.6981321512464954,0.9754975181801082,0.96822735165948,0.6927141276824689,0.7874852435844385
torch,optimized,genus,5,per_model,226,47997,36422,52788,0.7575395923315905,0.970284104556389,0.9654305304648698,0.7349949980804276,0.8198300630906832
torch,optimized,genus,5,common,215,46868,35966,52788,0.7575395923315905,0.9730526458225819,0.9696226974149172,0.7475533077376153,0.8310650157210921
onnx,optimized,genus,5,per_model,226,47997,36257,52788,0.7536561339698417,0.9708040563009604,0.9665082137972658,0.7310313579815346,0.8173152189160264
onnx,optimized,genus,5,common,215,46868,35808,52788,0.7536561339698417,0.9738759173936625,0.9708203215753252,0.7439396812388471,0.8289781701827873
torch-tta,optimized,genus,5,per_model,232,48047,40448,52788,0.8432030006819732,0.9740978260964577,0.9682301236825241,0.8146523892286389,0.8726172137759266
torch-tta,optimized,genus,5,common,215,46868,39827,52788,0.8432030006819732,0.9754640055183043,0.9744657384691411,0.8284961369731623,0.8857838500606219
onnx-tta,optimized,genus,5,per_model,232,48047,40445,52788,0.843070394786694,0.9742496201535418,0.9681807012728565,0.8146135864340426,0.8725791077003775
onnx-tta,optimized,genus,5,common,215,46868,39824,52788,0.843070394786694,0.975627801896181,0.9744124082410346,0.8284542660506211,0.885742730946541
v2,optimized,genus,10,per_model,197,50958,34025,52788,0.6981321512464954,0.9707426742420079,0.9676850759993277,0.7030299586868274,0.7949775034079533
v2,optimized,genus,10,common,192,46467,33937,52788,0.6981321512464954,0.9752941088049124,0.9772224666409167,0.7109088798148795,0.8054635075619051
torch,optimized,genus,10,per_model,203,47662,36218,52788,0.7575395923315905,0.9725044668174535,0.973428506176096,0.7475181869995279,0.8320199105759429
torch,optimized,genus,10,common,192,46467,35691,52788,0.7575395923315905,0.9735479156470631,0.9733069820326449,0.7535836525103417,0.83644361028291
onnx,optimized,genus,10,per_model,202,47651,36048,52788,0.7536561339698417,0.973280111509321,0.9750664954245438,0.7440944617898129,0.8301947627142044
onnx,optimized,genus,10,common,192,46467,35536,52788,0.7536561339698417,0.9741721892441434,0.9742219352236319,0.7503899701812965,0.834492264816495
torch-tta,optimized,genus,10,per_model,213,47821,40290,52788,0.8432030006819732,0.9738984553007208,0.9728876041784816,0.8217613324322757,0.8806777740048471
torch-tta,optimized,genus,10,common,192,46467,39511,52788,0.8432030006819732,0.9767219347209566,0.9780098953790074,0.8329662619360828,0.8901119825986873
onnx-tta,optimized,genus,10,per_model,213,47821,40287,52788,0.843070394786694,0.9740637896727561,0.9728337731970597,0.8217190683555322,0.8806362687957985
onnx-tta,optimized,genus,10,common,192,46467,39508,52788,0.843070394786694,0.9769053525399332,0.9779501766339919,0.8329193752259455,0.8900659377573991
v2,optimized,genus,20,per_model,156,45483,33405,52788,0.6981321512464954,0.9843358498587619,0.9748388332981802,0.7242019498914946,0.8169005762983504
v2,optimized,genus,20,common,152,45330,33296,52788,0.6981321512464954,0.9839236353813609,0.9778465660712192,0.7242368310515996,0.8183922505182741
torch,optimized,genus,20,per_model,165,46690,35635,52788,0.7575395923315905,0.9810178296102066,0.9757921370967002,0.7571265698443955,0.8419323350469783
torch,optimized,genus,20,common,152,45330,34996,52788,0.7575395923315905,0.983752937266044,0.9758140404693171,0.7677855297367047,0.8494275117330315
onnx,optimized,genus,20,per_model,165,46690,35481,52788,0.7536561339698417,0.9817692866417445,0.9765223194080256,0.7541904615905834,0.8401795246684531
onnx,optimized,genus,20,common,152,45330,34847,52788,0.7536561339698417,0.9843822049121461,0.9763221583019224,0.7646492402112083,0.847449368620922
torch-tta,optimized,genus,20,per_model,173,46980,39700,52788,0.8432030006819732,0.9828021400489438,0.9770325613675723,0.8323906948783845,0.8906387985645831
torch-tta,optimized,genus,20,common,152,45330,38714,52788,0.8432030006819732,0.9872680813408571,0.9795773240581996,0.847432505635241,0.9016662303355456
onnx-tta,optimized,genus,20,per_model,173,46980,39697,52788,0.843070394786694,0.9827521780380808,0.976966283916457,0.8323386587607753,0.8905876967754076
onnx-tta,optimized,genus,20,common,152,45330,38711,52788,0.843070394786694,0.9872112166837566,0.9795018898539696,0.8473732803171727,0.9016080684307602
v2,optimized,family,-1,per_model,26,52788,40881,52788,0.7744373721300295,0.9963653352691595,0.841348645086206,0.6466603488658192,0.6545226053114057
torch,optimized,family,-1,per_model,30,52788,38566,52788,0.7305827081912556,0.9932547854813464,0.74059226732527,0.6535073068400129,0.5807455159791289
onnx,optimized,family,-1,per_model,30,52788,38672,52788,0.7325907403197697,0.9932599551447033,0.7406007419898425,0.6548532928566179,0.5815679236552637
torch-tta,optimized,family,-1,per_model,27,52788,43336,52788,0.8209441539743881,0.9892254689058468,0.8402573230856973,0.7546408071160894,0.7073928412638565
onnx-tta,optimized,family,-1,per_model,27,52788,43353,52788,0.8212661968629233,0.9892268920132548,0.8402600553286454,0.7551948103314396,0.7076764729156301
v2,optimized,family,5,per_model,19,52770,40869,52788,0.7744373721300295,0.9957914408379742,0.9859850593239553,0.6876576692748175,0.8020952610694091
v2,optimized,family,5,common,19,52770,40869,52788,0.7744373721300295,0.9957914408379742,0.9859850593239553,0.6876576692748175,0.8020952610694091
torch,optimized,family,5,per_model,19,52770,38530,52788,0.7305827081912556,0.99218975160998,0.9900267939876928,0.7040432580775865,0.816089411195116
torch,optimized,family,5,common,19,52770,38530,52788,0.7305827081912556,0.99218975160998,0.9900267939876928,0.7040432580775865,0.816089411195116
onnx,optimized,family,5,per_model,19,52770,38636,52788,0.7325907403197697,0.9921957375359722,0.9900397290020405,0.7056726095713715,0.817387949631118
onnx,optimized,family,5,common,19,52770,38636,52788,0.7325907403197697,0.9921957375359722,0.9900397290020405,0.7056726095713715,0.817387949631118
torch-tta,optimized,family,5,per_model,19,52770,43325,52788,0.8209441539743881,0.9875242271541385,0.9919310736962174,0.7961036491000434,0.8802424586381118
torch-tta,optimized,family,5,common,19,52770,43325,52788,0.8209441539743881,0.9875242271541385,0.9919310736962174,0.7961036491000434,0.8802424586381118
onnx-tta,optimized,family,5,per_model,19,52770,43342,52788,0.8212661968629233,0.987525874962716,0.9919348125549885,0.796774284571257,0.8806455141432638
onnx-tta,optimized,family,5,common,19,52770,43342,52788,0.8212661968629233,0.987525874962716,0.9919348125549885,0.796774284571257,0.8806455141432638
v2,optimized,family,10,per_model,19,52770,40869,52788,0.7744373721300295,0.9957914408379742,0.9859850593239553,0.6876576692748175,0.8020952610694091
v2,optimized,family,10,common,19,52770,40869,52788,0.7744373721300295,0.9957914408379742,0.9859850593239553,0.6876576692748175,0.8020952610694091
torch,optimized,family,10,per_model,19,52770,38530,52788,0.7305827081912556,0.99218975160998,0.9900267939876928,0.7040432580775865,0.816089411195116
