model,scope,rank,cutoff,domain,class_count,truth_images_in_retained_classes,accepted_predictions_in_retained_classes,report_images,overall_coverage,accuracy,precision,recall,f1
torch,zero,family,5,per_model,101,568926,568926,568939,1.0,0.9842537720671449,0.975843924718816,0.9842537720671449,0.9797683702176169
torch,zero,family,5,common,101,568926,568926,568939,1.0,0.9842537720671449,0.975843924718816,0.9842537720671449,0.9797683702176169
onnx,zero,family,5,per_model,101,568926,568926,568939,1.0,0.9841022466331076,0.9752934152916147,0.9841022466331076,0.9793836196069683
onnx,zero,family,5,common,101,568926,568926,568939,1.0,0.9841022466331076,0.9752934152916147,0.9841022466331076,0.9793836196069683
torch-tta,zero,family,5,per_model,101,568926,568925,568939,1.0,0.9671691177363579,0.9628627412592868,0.9671691177363579,0.9643769513557596
torch-tta,zero,family,5,common,101,568926,568925,568939,1.0,0.9671691177363579,0.9628627412592868,0.9671691177363579,0.9643769513557596
onnx-tta,zero,family,5,per_model,101,568926,568925,568939,1.0,0.9671567661707129,0.9628436315601973,0.9671567661707129,0.9643609300636667
onnx-tta,zero,family,5,common,101,568926,568925,568939,1.0,0.9671567661707129,0.9628436315601973,0.9671567661707129,0.9643609300636667
v2,zero,family,10,per_model,100,568917,568916,568939,1.0,0.9705131405663119,0.9518846970632694,0.9705131405663119,0.9604184540672229
v2,zero,family,10,common,99,568905,568905,568939,1.0,0.9718987951848268,0.9523169575478387,0.9718987951848268,0.9613361635285959
torch,zero,family,10,per_model,99,568905,568908,568939,1.0,0.9867415025915093,0.9753559231979841,0.9867415025915093,0.9808721011343452
torch,zero,family,10,common,99,568905,568908,568939,1.0,0.9867415025915093,0.9753559231979841,0.9867415025915093,0.9808721011343452
onnx,zero,family,10,per_model,99,568905,568908,568939,1.0,0.9865869160375925,0.974794292368213,0.9865869160375925,0.9804795777840875
onnx,zero,family,10,common,99,568905,568908,568939,1.0,0.9865869160375925,0.974794292368213,0.9865869160375925,0.9804795777840875
torch-tta,zero,family,10,per_model,99,568905,568908,568939,1.0,0.970153454570538,0.9621124936079593,0.970153454570538,0.9656944723151579
torch-tta,zero,family,10,common,99,568905,568908,568939,1.0,0.970153454570538,0.9621124936079593,0.970153454570538,0.9656944723151579
onnx-tta,zero,family,10,per_model,99,568905,568908,568939,1.0,0.970140853478314,0.9620929978543427,0.970140853478314,0.9656781273605988
onnx-tta,zero,family,10,common,99,568905,568908,568939,1.0,0.970140853478314,0.9620929978543427,0.970140853478314,0.9656781273605988
v2,zero,family,20,per_model,95,568844,568840,568939,1.0,0.9741493045458317,0.9558568315711183,0.9741493045458317,0.9643318929324275
v2,zero,family,20,common,95,568844,568840,568939,1.0,0.9741493045458317,0.9558568315711183,0.9741493045458317,0.9643318929324275
torch,zero,family,20,per_model,95,568844,568844,568939,1.0,0.9861832500690465,0.9760726638238643,0.9861832500690465,0.9809866628450878
torch,zero,family,20,common,95,568844,568844,568939,1.0,0.9861832500690465,0.9760726638238643,0.9861832500690465,0.9809866628450878
onnx,zero,family,20,per_model,95,568844,568843,568939,1.0,0.9860221546075963,0.975979844598429,0.9860221546075963,0.9808606727885303
onnx,zero,family,20,common,95,568844,568843,568939,1.0,0.9860221546075963,0.975979844598429,0.9860221546075963,0.9808606727885303
torch-tta,zero,family,20,per_model,95,568844,568841,568939,1.0,0.9704728907663592,0.964964176423538,0.9704728907663592,0.9674882117511958
torch-tta,zero,family,20,common,95,568844,568841,568939,1.0,0.9704728907663592,0.964964176423538,0.9704728907663592,0.9674882117511958
onnx-tta,zero,family,20,per_model,95,568844,568841,568939,1.0,0.9704597591018311,0.964943859796085,0.9704597591018311,0.9674711785880233
onnx-tta,zero,family,20,common,95,568844,568841,568939,1.0,0.9704597591018311,0.964943859796085,0.9704597591018311,0.9674711785880233
v2,optimized,species,-1,per_model,12632,568939,546194,568939,0.9600220761803989,0.9037265793690537,0.8744630133499443,0.8617359559506923,0.8577212237023112
torch,optimized,species,-1,per_model,12632,568939,554475,568939,0.9745772393877024,0.9459195194605763,0.9308209935558278,0.9187824413723291,0.9207369197765051
onnx,optimized,species,-1,per_model,12632,568939,554457,568939,0.974545601549551,0.9459922827275581,0.9308488990338033,0.9188180504133524,0.920776413807909
torch-tta,optimized,species,-1,per_model,12632,568939,551819,568939,0.9699089006027009,0.924348693798147,0.9180616415933389,0.8923771863774734,0.8990523856912974
onnx-tta,optimized,species,-1,per_model,12632,568939,551892,568939,0.9700372096129813,0.9243532804255711,0.9180792238778338,0.892479370530307,0.8991069244273215
v2,optimized,species,5,per_model,10804,559672,536383,568939,0.9600220761803989,0.9158611562057326,0.8878390711410652,0.8776764147426164,0.8761661941794936
v2,optimized,species,5,common,10602,558259,534450,568939,0.9600220761803989,0.9177121083679098,0.891762023479617,0.8801101949128962,0.8795222528459896
torch,optimized,species,5,per_model,10937,560779,546176,568939,0.9745772393877024,0.9513947315854316,0.9384133494807109,0.9266526292978261,0.9300604171769342
torch,optimized,species,5,common,10602,558259,543718,568939,0.9745772393877024,0.9532783476173154,0.9407074772137323,0.9290829607634777,0.9325396241152072
onnx,optimized,species,5,per_model,10936,560772,546150,568939,0.974545601549551,0.9514303559397785,0.9384500205116991,0.9267201467445534,0.9301162917573901
onnx,optimized,species,5,common,10602,558259,543696,568939,0.974545601549551,0.9532904839498968,0.9407443752022229,0.9291231422275786,0.932580761385352
torch-tta,optimized,species,5,per_model,10825,559907,543290,568939,0.9699089006027009,0.9345626371964706,0.9252272362524564,0.9057840551177695,0.9120214401052257
torch-tta,optimized,species,5,common,10602,558259,541677,568939,0.9699089006027009,0.9363450738235962,0.9279542708375016,0.9080426198963741,0.9146258206280785
onnx-tta,optimized,species,5,per_model,10824,559900,543357,568939,0.9700372096129813,0.9346673465396608,0.925332388146371,0.9059777519279791,0.912173055325448
onnx-tta,optimized,species,5,common,10602,558259,541751,568939,0.9700372096129813,0.9363638260678422,0.9279653724002486,0.9081549374042587,0.9146897500425569
v2,optimized,species,10,per_model,8253,538583,513453,568939,0.9600220761803989,0.919702396828417,0.9059511438670541,0.8834063629447468,0.8899652418620435
v2,optimized,species,10,common,8098,536616,510817,568939,0.9600220761803989,0.9215043345441031,0.9099653600413793,0.8855370730719558,0.8932241894066936
torch,optimized,species,10,per_model,8346,539898,524917,568939,0.9745772393877024,0.9538984340441033,0.9473939736393223,0.9301602417862408,0.937148187830096
torch,optimized,species,10,common,8098,536616,521708,568939,0.9745772393877024,0.9557823065433836,0.9496750937304543,0.9325411959209317,0.939535293611614
onnx,optimized,species,10,per_model,8346,539898,524893,568939,0.974545601549551,0.9539206501272308,0.9474282931419843,0.9301672088051162,0.9371699294742781
onnx,optimized,species,10,common,8098,536616,521686,568939,0.974545601549551,0.955801772788383,0.9496911211579956,0.9325483763036845,0.9395489940596635
torch-tta,optimized,species,10,per_model,8249,538601,522010,568939,0.9699089006027009,0.9393834246589234,0.9350057267421275,0.9114834461988911,0.9208747951169612
torch-tta,optimized,species,10,common,8098,536616,520083,568939,0.9699089006027009,0.9407200968998959,0.9367295913481962,0.9130456217866014,0.922581735577435
onnx-tta,optimized,species,10,per_model,8250,538612,522092,568939,0.9700372096129813,0.93934641972003,0.9349791393850145,0.9115472154224278,0.9208988400212919
onnx-tta,optimized,species,10,common,8098,536616,520154,568939,0.9700372096129813,0.9406749119997709,0.9366904984361594,0.9130996572941806,0.922594828425376
v2,optimized,species,20,per_model,5743,498972,472082,568939,0.9600220761803989,0.9250972898319929,0.9288745734119677,0.8907524166746096,0.9064159828472291
v2,optimized,species,20,common,5619,495885,468673,568939,0.9600220761803989,0.9264955543696868,0.9322684160108836,0.8924860724765344,0.9091256637933713
torch,optimized,species,20,per_model,5839,501367,486352,568939,0.9745772393877024,0.9573531978360545,0.9579644649920425,0.9347857154368387,0.9453054680104727
torch,optimized,species,20,common,5619,495885,481020,568939,0.9745772393877024,0.9590960455020283,0.960085603968183,0.9369176471418931,0.9474691370958213
onnx,optimized,species,20,per_model,5839,501366,486333,568939,0.974545601549551,0.9573343733074557,0.9579445192550318,0.9347554839982136,0.945279034518881
onnx,optimized,species,20,common,5619,495885,481001,568939,0.974545601549551,0.9590794950769043,0.9600785045004131,0.9368942906754668,0.9474527915410534
torch-tta,optimized,species,20,per_model,5768,499433,483547,568939,0.9699089006027009,0.9453421202510482,0.9452047271577229,0.9179877458923795,0.9300978516335463
torch-tta,optimized,species,20,common,5619,495885,480062,568939,0.9699089006027009,0.9467143599325811,0.9471899070701052,0.9195557591284796,0.931901907237806
