model,scope,rank,cutoff,domain,class_count,truth_images_in_retained_classes,accepted_predictions_in_retained_classes,report_images,overall_coverage,accuracy,precision,recall,f1
onnx,zero,genus,20,per_model,180,51668,43511,52788,1.0,0.8514718324234797,0.8766263792837025,0.8514718324234797,0.8499294903140181
onnx,zero,genus,20,common,174,51091,43120,52788,1.0,0.8569783049191699,0.8797840089758777,0.8569783049191699,0.8548933267800544
torch-tta,zero,genus,20,per_model,181,51690,44297,52788,1.0,0.8769067543097299,0.8943059399376526,0.8769067543097299,0.87295880197148
torch-tta,zero,genus,20,common,174,51091,43849,52788,1.0,0.8813164944712208,0.8965073033675035,0.8813164944712208,0.8765450108644934
onnx-tta,zero,genus,20,per_model,181,51690,44297,52788,1.0,0.8769470993427563,0.8939963574869481,0.8769470993427563,0.8728097609356607
onnx-tta,zero,genus,20,common,174,51091,43850,52788,1.0,0.8813584625802887,0.8961383784724689,0.8813584625802887,0.876352418020288
v2,zero,family,0,per_model,23,52788,52380,52788,1.0,0.8435038466784595,0.7265179495682207,0.8435038466784595,0.75042499174046
v2,zero,family,0,common,23,52788,52380,52788,1.0,0.8435038466784595,0.7265179495682207,0.8435038466784595,0.75042499174046
torch,zero,family,0,per_model,23,52788,52032,52788,1.0,0.8104767092433202,0.7182658553111946,0.8104767092433202,0.7317239969421455
torch,zero,family,0,common,23,52788,52032,52788,1.0,0.8104767092433202,0.7182658553111946,0.8104767092433202,0.7317239969421455
onnx,zero,family,0,per_model,23,52788,52032,52788,1.0,0.8106325437578626,0.7191962309707975,0.8106325437578626,0.7327511040954056
onnx,zero,family,0,common,23,52788,52032,52788,1.0,0.8106325437578626,0.7191962309707975,0.8106325437578626,0.7327511040954056
torch-tta,zero,family,0,per_model,23,52788,52253,52788,1.0,0.8579010503993526,0.7452645609572454,0.8579010503993526,0.7748977570788995
torch-tta,zero,family,0,common,23,52788,52253,52788,1.0,0.8579010503993526,0.7452645609572454,0.8579010503993526,0.7748977570788995
onnx-tta,zero,family,0,per_model,23,52788,52253,52788,1.0,0.8580571051602935,0.7452276841673134,0.8580571051602935,0.7749856158408315
onnx-tta,zero,family,0,common,23,52788,52253,52788,1.0,0.8580571051602935,0.7452276841673134,0.8580571051602935,0.7749856158408315
v2,zero,family,5,per_model,20,52783,52241,52788,1.0,0.8700294236802284,0.8073706420034539,0.8700294236802284,0.8237730542270192
v2,zero,family,5,common,20,52783,52241,52788,1.0,0.8700294236802284,0.8073706420034539,0.8700294236802284,0.8237730542270192
torch,zero,family,5,per_model,20,52783,51891,52788,1.0,0.8570482156298184,0.7593390669412071,0.8570482156298184,0.7831492631501339
torch,zero,family,5,common,20,52783,51891,52788,1.0,0.8570482156298184,0.7593390669412071,0.8570482156298184,0.7831492631501339
onnx,zero,family,5,per_model,20,52783,51893,52788,1.0,0.8572274253215421,0.7604089989497506,0.8572274253215421,0.7843304363763831
onnx,zero,family,5,common,20,52783,51893,52788,1.0,0.8572274253215421,0.7604089989497506,0.8572274253215421,0.7843304363763831
torch-tta,zero,family,5,per_model,20,52783,52160,52788,1.0,0.8865862079592552,0.7945542451008321,0.8865862079592552,0.8211324206407346
torch-tta,zero,family,5,common,20,52783,52160,52788,1.0,0.8865862079592552,0.7945542451008321,0.8865862079592552,0.8211324206407346
onnx-tta,zero,family,5,per_model,20,52783,52160,52788,1.0,0.8867656709343373,0.7945118367924103,0.8867656709343373,0.821233458216956
onnx-tta,zero,family,5,common,20,52783,52160,52788,1.0,0.8867656709343373,0.7945118367924103,0.8867656709343373,0.821233458216956
v2,zero,family,10,per_model,20,52783,52241,52788,1.0,0.8700294236802284,0.8073706420034539,0.8700294236802284,0.8237730542270192
v2,zero,family,10,common,20,52783,52241,52788,1.0,0.8700294236802284,0.8073706420034539,0.8700294236802284,0.8237730542270192
torch,zero,family,10,per_model,20,52783,51891,52788,1.0,0.8570482156298184,0.7593390669412071,0.8570482156298184,0.7831492631501339
torch,zero,family,10,common,20,52783,51891,52788,1.0,0.8570482156298184,0.7593390669412071,0.8570482156298184,0.7831492631501339
onnx,zero,family,10,per_model,20,52783,51893,52788,1.0,0.8572274253215421,0.7604089989497506,0.8572274253215421,0.7843304363763831
onnx,zero,family,10,common,20,52783,51893,52788,1.0,0.8572274253215421,0.7604089989497506,0.8572274253215421,0.7843304363763831
torch-tta,zero,family,10,per_model,20,52783,52160,52788,1.0,0.8865862079592552,0.7945542451008321,0.8865862079592552,0.8211324206407346
torch-tta,zero,family,10,common,20,52783,52160,52788,1.0,0.8865862079592552,0.7945542451008321,0.8865862079592552,0.8211324206407346
onnx-tta,zero,family,10,per_model,20,52783,52160,52788,1.0,0.8867656709343373,0.7945118367924103,0.8867656709343373,0.821233458216956
onnx-tta,zero,family,10,common,20,52783,52160,52788,1.0,0.8867656709343373,0.7945118367924103,0.8867656709343373,0.821233458216956
v2,zero,family,20,per_model,17,52742,52159,52788,1.0,0.8777980291519171,0.8618479765055044,0.8777980291519171,0.8634797826579269
v2,zero,family,20,common,17,52742,52159,52788,1.0,0.8777980291519171,0.8618479765055044,0.8777980291519171,0.8634797826579269
torch,zero,family,20,per_model,17,52742,51776,52788,1.0,0.8761006803143303,0.8444656509344528,0.8761006803143303,0.8502787174152918
torch,zero,family,20,common,17,52742,51776,52788,1.0,0.8761006803143303,0.8444656509344528,0.8761006803143303,0.8502787174152918
onnx,zero,family,20,per_model,17,52742,51781,52788,1.0,0.8763115152457701,0.8445713671430294,0.8763115152457701,0.8504835558317285
onnx,zero,family,20,common,17,52742,51781,52788,1.0,0.8763115152457701,0.8445713671430294,0.8763115152457701,0.8504835558317285
torch-tta,zero,family,20,per_model,17,52742,52060,52788,1.0,0.9024478981808949,0.8736299225701798,0.9024478981808949,0.8812811401338616
torch-tta,zero,family,20,common,17,52742,52060,52788,1.0,0.9024478981808949,0.8736299225701798,0.9024478981808949,0.8812811401338616
onnx-tta,zero,family,20,per_model,17,52742,52060,52788,1.0,0.902659031092756,0.8735800304426246,0.902659031092756,0.8814000078705927
onnx-tta,zero,family,20,common,17,52742,52060,52788,1.0,0.902659031092756,0.8735800304426246,0.902659031092756,0.8814000078705927
v2,optimized,species,0,per_model,433,44484,31566,52788,0.6973175721754944,0.9240191857358756,0.885700493336194,0.6531790785268475,0.7117924113167411
v2,optimized,species,0,common,413,44369,31533,52788,0.6973175721754944,0.9385872203508142,0.9084139958383503,0.6750014601723655,0.7345720682137987
torch,optimized,species,0,per_model,449,45205,31873,52788,0.7081344244904145,0.9398423490596125,0.9094313118847961,0.6713467663200402,0.7401393054211883
torch,optimized,species,0,common,413,44369,31677,52788,0.7081344244904145,0.9483742161527923,0.9278828363613216,0.6933654020535126,0.7625446812254123
onnx,optimized,species,0,per_model,449,45205,31724,52788,0.7045351216185497,0.940681805632725,0.9109585170264042,0.6688306126725968,0.7382564696944265
onnx,optimized,species,0,common,413,44369,31534,52788,0.7045351216185497,0.948876538655318,0.92844781010515,0.6912679285399674,0.7610933438936152
torch-tta,optimized,species,0,per_model,465,45248,35052,52788,0.7831893612184587,0.932529958593781,0.898413496661032,0.717614394885624,0.7671987063507582
torch-tta,optimized,species,0,common,413,44369,34742,52788,0.7831893612184587,0.9456222727159702,0.9252382253232228,0.7526084931806575,0.8021001528962034
onnx-tta,optimized,species,0,per_model,450,45148,33352,52788,0.7404902629385466,0.9483124062069127,0.9228068935716895,0.7047776611494099,0.7675439553505272
onnx-tta,optimized,species,0,common,413,44369,33106,52788,0.7404902629385466,0.9531195374005882,0.9347573093799684,0.7229650126277268,0.7857605754515414
v2,optimized,species,5,per_model,281,42875,31091,52788,0.6973175721754944,0.949227254623375,0.943736867068747,0.6916423088644161,0.7737956953842573
v2,optimized,species,5,common,272,42778,31024,52788,0.6973175721754944,0.9521428623131191,0.950834091298276,0.6967497218946193,0.7799317319854289
torch,optimized,species,5,per_model,288,44180,31486,52788,0.7081344244904145,0.9604545336634476,0.9622152512833568,0.7039086159930352,0.7910306156942064
torch,optimized,species,5,common,272,42778,30977,52788,0.7081344244904145,0.963494109771882,0.9626322859838098,0.7171390330256306,0.8016422382706131
onnx,optimized,species,5,per_model,287,44173,31341,52788,0.7045351216185497,0.9610226296998533,0.9619757519565229,0.7010200481362973,0.788830662496077
onnx,optimized,species,5,common,272,42778,30845,52788,0.7045351216185497,0.9642506092928128,0.9626937682791291,0.7149144701582824,0.8001046982018762
torch-tta,optimized,species,5,per_model,295,44279,34630,52788,0.7831893612184587,0.9565023879246428,0.9579592889257432,0.7631267851065484,0.8330906323599062
torch-tta,optimized,species,5,common,272,42778,33853,52788,0.7831893612184587,0.9585814667783285,0.9585731812083509,0.7743974002343408,0.8413487263251005
