environment_id,variant,device,trial,preset,batch_size,images_per_second,seconds,peak_host_rss_mib
j-12402286-job-0,torch,cuda:0,trial-0-torch-cuda-0,north_europe,8,321.5584914015297,"[0.02506410190835595, 0.025000977097079158, 0.02487883297726512, 0.024151788093149662, 0.02245876914821565, 0.025216581067070365, 0.02454782510176301]",8748.5859375
j-12402286-job-0,torch,cuda:0,trial-0-torch-cuda-0,full,32,478.5154067344906,"[0.06442678486928344, 0.07067755796015263, 0.06746875704266131, 0.06502768979407847, 0.06610617507249117, 0.06687349989078939, 0.06953839189372957]",8748.5859375
j-12402286-job-0,torch,cuda:0,trial-0-torch-cuda-0,north_europe,32,440.29805404109663,"[0.0623072839807719, 0.07974362000823021, 0.06216668197885156, 0.07500562607310712, 0.0722976780962199, 0.07267804094590247, 0.07345631183125079]",8748.5859375
j-12402286-job-0,torch,cuda:0,trial-0-torch-cuda-0,full,256,473.30187695540536,"[0.5903866898734123, 0.5399209200404584, 0.5256964520085603, 0.5408810158260167, 0.5698406419251114, 0.5487330839969218, 0.5309413929935545]",8748.5859375
j-12402286-job-0,torch,cuda:0,trial-0-torch-cuda-0,north_europe,256,509.63960405887036,"[0.5185853492002934, 0.4925630991347134, 0.5023157501127571, 0.4884355610702187, 0.5026476308703423, 0.5019327839836478, 0.5080248010344803]",8748.5859375
j-12402286-job-0,onnx,cuda:0,trial-0-onnx-cuda-0,full,1,113.6131370481929,"[0.009512839838862419, 0.008801799034699798, 0.008537750924006104, 0.008859846973791718, 0.008465873776003718, 0.008470541099086404, 0.011722298106178641]",6922.67578125
j-12402286-job-0,onnx,cuda:0,trial-0-onnx-cuda-0,north_europe,1,138.7928342669094,"[0.007262099999934435, 0.007271014153957367, 0.007194858975708485, 0.007155319210141897, 0.007141758920624852, 0.007326576858758926, 0.007204982917755842]",6922.67578125
j-12402286-job-0,onnx,cuda:0,trial-0-onnx-cuda-0,full,8,330.6140063438729,"[0.02645369991660118, 0.022592162946239114, 0.02583598904311657, 0.023288171039894223, 0.021401920123025775, 0.02419740194454789, 0.024584023980423808]",6922.67578125
j-12402286-job-0,onnx,cuda:0,trial-0-onnx-cuda-0,north_europe,8,352.037172129845,"[0.021658926969394088, 0.020491539034992456, 0.02164299297146499, 0.02360737300477922, 0.02395508694462478, 0.022724872920662165, 0.023543456103652716]",6922.67578125
j-12402286-job-0,onnx,cuda:0,trial-0-onnx-cuda-0,full,32,447.84025525941945,"[0.07305560284294188, 0.07298052008263767, 0.06922221789136529, 0.07145405001938343, 0.07235863315872848, 0.07027801894582808, 0.07113562989979982]",6922.67578125
j-12402286-job-0,onnx,cuda:0,trial-0-onnx-cuda-0,north_europe,32,454.4771033525177,"[0.07847378496080637, 0.0703329520765692, 0.07661737804301083, 0.07041058782488108, 0.07012881408445537, 0.07049964205361903, 0.0671302869450301]",6922.67578125
j-12402286-job-0,onnx,cuda:0,trial-0-onnx-cuda-0,full,256,440.1144009851269,"[0.5717368379700929, 0.5882077501155436, 0.5647427421063185, 0.5975073499139398, 0.591107077896595, 0.5810348049271852, 0.5816669471096247]",6922.67578125
j-12402286-job-0,onnx,cuda:0,trial-0-onnx-cuda-0,north_europe,256,466.1911936968771,"[0.54900794592686, 0.5328393769450486, 0.5351080049294978, 0.5714165659155697, 0.5491309219505638, 0.5547846788540483, 0.5674031691160053]",6922.67578125
j-12402286-job-0,torch-tta,cuda:0,trial-0-torch-tta-cuda-0,full,1,25.77278001663632,"[0.038760185008868575, 0.03895626007579267, 0.03880062606185675, 0.03898235014639795, 0.0388006460852921, 0.038777069887146354, 0.03862898703664541]",13732.86328125
j-12402286-job-0,torch-tta,cuda:0,trial-0-torch-tta-cuda-0,north_europe,1,27.227900600986786,"[0.03650639997795224, 0.03680428885854781, 0.036754583939909935, 0.03654780308715999, 0.03689834079705179, 0.03672703285701573, 0.036662244936451316]",13732.86328125
j-12402286-job-0,torch-tta,cuda:0,trial-0-torch-tta-cuda-0,full,8,99.54417969759442,"[0.08036632603034377, 0.08473288198001683, 0.07552051800303161, 0.08759120712056756, 0.07841285387985408, 0.08712896122597158, 0.0796153349801898]",13732.86328125
j-12402286-job-0,torch-tta,cuda:0,trial-0-torch-tta-cuda-0,north_europe,8,101.10871662764575,"[0.07481043902225792, 0.07912275288254023, 0.08086353493854403, 0.07912016892805696, 0.08882537600584328, 0.07169873197562993, 0.08031963580287993]",13732.86328125
j-12402286-job-0,torch-tta,cuda:0,trial-0-torch-tta-cuda-0,full,32,141.62023365612262,"[0.22613058588467538, 0.21947938902303576, 0.22595641296356916, 0.22569528897292912, 0.22925979807041585, 0.22593854600563645, 0.22688736487179995]",13732.86328125
j-12402286-job-0,torch-tta,cuda:0,trial-0-torch-tta-cuda-0,north_europe,32,134.61613589128336,"[0.23786216299049556, 0.26676358096301556, 0.22510312893427908, 0.2543662399984896, 0.23771295906044543, 0.22919729398563504, 0.22667260188609362]",13732.86328125
j-12402286-job-0,torch-tta,cuda:0,trial-0-torch-tta-cuda-0,full,256,145.4563147380399,"[1.7471032990142703, 1.848585378145799, 1.7710895768832415, 1.7599785919301212, 1.789674888830632, 1.7099389729555696, 1.7481422240380198]",13732.86328125
