model,scope,rank,threshold,report_images,coverage,full_accuracy,full_precision,full_recall,full_f1,full_micro_accuracy,full_theilU,tail_accuracy,tail_precision,tail_recall,tail_f1,tail_classes,tail_truth_images,tail_accepted_predictions
torch-tta,coverage_80,family,0.9556875824928284,52788,0.7999924225202698,0.980043657507525,0.7392855318346994,0.7065130086457477,0.6105337132313392,0.9979872128818376,0.8802152497213216,0.9900505507981868,0.9915410749055935,0.7641594720043668,0.8587374419442199,19,52770,42196
torch-tta,coverage_90,species,0.4103786051273346,52788,0.8999962112601348,0.8145174796850042,0.4925946020576832,0.7092768556597198,0.43138462249532483,0.783914626702309,0.9416287278244636,0.9175215805336097,0.9199110408254955,0.8271822185719119,0.8577180591837419,295,44256,38345
torch-tta,coverage_90,genus,0.4679165780544281,52788,0.8999962112601348,0.9206265600944382,0.5628702690668548,0.7929657144502366,0.5213308664991891,0.8721294912542886,0.9429697597956094,0.9452283281513972,0.9293840070922701,0.8394534910703915,0.8708704993487821,231,48032,42116
torch-tta,coverage_90,family,0.7022547125816345,52788,0.8999962112601348,0.9519711626779341,0.4890308893157449,0.7839285171996123,0.4572527582331337,0.9901702835252268,0.8802152497213216,0.9707034515218184,0.9500140243129231,0.8497758163671418,0.8936445866068157,19,52770,47370
onnx-tta,zero,species,0.0,52788,1.0,0.7408884646998294,0.3129592874854792,0.7408884646998294,0.30114949302373306,0.7322118663332575,0.9416043541781303,0.8482708971423827,0.859125120067078,0.8482708971423827,0.8368704802655687,308,44643,40964
onnx-tta,zero,genus,0.0,52788,1.0,0.831310673030869,0.35819829298724193,0.831310673030869,0.3604852264440997,0.8163029476396151,0.9429777628243508,0.8642721574907657,0.8423837204350251,0.8642721574907657,0.8339715279038667,242,52567,45478
onnx-tta,zero,family,0.0,52788,1.0,0.8580571051602935,0.2856706122641368,0.8580571051602935,0.2970778194056521,0.9479237705539137,0.8802934722288728,0.8867656709343373,0.7945118367924103,0.8867656709343373,0.821233458216956,20,52783,52160
onnx-tta,optimized,species,0.8280269503593445,52788,0.7404902629385466,0.8755166405852203,0.7362820959348587,0.6075669492667327,0.5430735533140522,0.8355803422957866,0.9416043541781303,0.9650388599694326,0.9639006969879437,0.7443741514376615,0.8223569195026883,272,42778,32341
onnx-tta,optimized,genus,0.8708856105804443,52788,0.7768621656437069,0.9629823236784678,0.8168891977985718,0.703150166196618,0.6655370235633972,0.911799848813675,0.9429777628243508,0.9774284415058453,0.9775831973986752,0.7672866592834245,0.8477266855996487,215,46868,36936
onnx-tta,optimized,family,0.966471254825592,52788,0.7846859134651815,0.9955854528269081,0.7395038777892725,0.6986717712105687,0.6065093177805807,0.998285935010381,0.8802934722288728,0.9948884190627355,0.9918743397836266,0.754667447740729,0.852383133337759,19,52770,41392
onnx-tta,coverage_70,species,0.8901577591896057,52788,0.6999886337804047,0.8906299010400511,0.7966276731934266,0.5796284078643174,0.5599772016156898,0.8443073259181078,0.9416043541781303,0.9732493733693959,0.9705461373032799,0.7174933624601928,0.8041016918766225,270,42705,30827
onnx-tta,coverage_70,genus,0.9606157541275024,52788,0.6999886337804047,0.9754350362986757,0.8965238930921287,0.6335466562733132,0.6671841623210293,0.9231414576060187,0.9429777628243508,0.9857081844689186,0.9870787691851511,0.7107978607072257,0.809253042786544,210,46789,33740
onnx-tta,coverage_70,family,0.9924092292785645,52788,0.6999886337804047,0.9955876317644935,0.8894957438238706,0.6319719604359404,0.6819831887822367,0.9989174853183946,0.8802934722288728,0.9948909420430975,0.9919946237775208,0.6779741545358146,0.797243101854852,19,52770,36933
onnx-tta,coverage_80,species,0.6970725059509277,52788,0.7999924225202698,0.8605050796504391,0.6425824308630953,0.6502626044247952,0.5141028667288083,0.8211697845133791,0.9416043541781303,0.95544016618753,0.9552347846466682,0.7851829659454762,0.8475942364745017,282,43436,34886
onnx-tta,coverage_80,genus,0.8184317350387573,52788,0.7999924225202698,0.957481163977273,0.7612239102518993,0.7238724141381434,0.6402488255798201,0.9069145157470992,0.9429777628243508,0.9741774842920884,0.9714040423387499,0.7799920264882948,0.8531731226964174,220,47497,38190
onnx-tta,coverage_80,family,0.9559080004692078,52788,0.7999924225202698,0.9800427091207768,0.7392855395634923,0.7064178836065658,0.6104810675107896,0.9979872128818376,0.8802934722288728,0.9900494526661626,0.9915410867021727,0.7640443206411466,0.8586543171222992,19,52770,42196
onnx-tta,coverage_90,species,0.4094218313694,52788,0.8999962112601348,0.8145125280066268,0.49342728859876867,0.7093314621998333,0.4322191163505195,0.7838935780588941,0.9416043541781303,0.9179067496797524,0.9195647545876909,0.8271376014440223,0.8573977653891341,295,44256,38344
onnx-tta,coverage_90,genus,0.4677167236804962,52788,0.8999962112601348,0.9189803824252353,0.5617081860676382,0.7928671954824282,0.5202478106264234,0.8720452966806289,0.9429777628243508,0.945175513586682,0.9293802024440366,0.8393151839568592,0.870823331898205,231,48032,42114
onnx-tta,coverage_90,family,0.701670229434967,52788,0.8999962112601348,0.9520347449957101,0.4890652942611772,0.7838848111299506,0.4572588673034217,0.9902123808120566,0.8802934722288728,0.9707770731529273,0.9500882665635927,0.8497229090196569,0.8936577693374371,19,52770,47370
torch:rotation30_pad15_3,zero,species,0.0,52788,1.0,0.7513310721181966,0.33541184570095794,0.7513310721181966,0.3207141524325515,0.7501515495946048,0.9506821380005821,0.8681389941924458,0.8803148570115105,0.8681389941924458,0.8587890346597373,308,44643,41699
torch:rotation30_pad15_3,zero,genus,0.0,52788,1.0,0.8514761457282455,0.3869580883721579,0.8514761457282455,0.3880631831613022,0.8322156550731227,0.9530656934912801,0.8816751995436959,0.862662277317664,0.8816751995436959,0.8542468147491235,242,52567,45979
torch:rotation30_pad15_3,zero,family,0.0,52788,1.0,0.8625346236914426,0.33597390634364505,0.8625346236914426,0.34855638987709453,0.9608244297946503,0.904888479697919,0.8919148172451592,0.8153308518106595,0.8919148172451592,0.8403410998409673,20,52783,52370
torch:rotation30_pad15_3,optimized,species,0.7703565061092377,52788,0.8067363794801848,0.8643190221276298,0.7142382786297836,0.6585389181056288,0.5614510327382695,0.8301084863570187,0.9506821380005821,0.9633823854628971,0.9620682860611799,0.7992089334141771,0.8594740388924278,272,42778,34929
torch:rotation30_pad15_3,optimized,genus,0.797132283449173,52788,0.8429188451920892,0.9624906870799902,0.7650612786044926,0.7634804910051127,0.66391037346047,0.9039014742898238,0.9530656934912801,0.9754344482950037,0.9752199938369727,0.8251593289180623,0.8840371546219599,215,46868,39740
torch:rotation30_pad15_3,optimized,family,0.9761196076869965,52788,0.8184435856634084,0.989187457175979,0.8090769758102975,0.7304671232556951,0.6688685629268447,0.998750115730025,0.904888479697919,0.9874802135721861,0.9918462287830544,0.7931565581111449,0.8782448997518413,19,52770,43191
torch:rotation30_pad15_3,coverage_70,species,0.93315851688385,52788,0.6999886337804047,0.8991772347974494,0.8456689437195946,0.5806579657362848,0.5804015634850642,0.8519931801575059,0.9506821380005821,0.9776436854882747,0.9755378203406662,0.722004661286145,0.8087591090852428,270,42705,31010
torch:rotation30_pad15_3,coverage_70,genus,0.9804478883743286,52788,0.6999886337804047,0.9765122298670562,0.9212082467863876,0.6323255412674224,0.6760711493673188,0.9276880192687613,0.9530656934912801,0.9868260875650243,0.9869714825698337,0.7128497701246634,0.8100365271492445,210,46789,33975
torch:rotation30_pad15_3,coverage_70,family,0.9972013235092164,52788,0.6999886337804047,0.9940919372828998,0.9105909518507277,0.6474373549878735,0.695180588011688,0.9994858055262374,0.904888479697919,0.9931590852749367,0.9923254128640772,0.6966954216249965,0.8129569140504668,19,52770,36945
