model,scope,threshold,family_id,family,truth_images,accepted_predictions,precision,precision_weight,recall,recall_weight,f1,f1_weight
torch,common_0.96,0.96,8860,Plutellidae,14,12,0.9166666666666666,1.0,0.7857142857142857,1.0,0.8461538461538461,1.0
torch,common_0.96,0.96,8861,Psychidae,0,1,0.0,1.0,,0,0.0,1.0
torch,common_0.96,0.96,8863,Pterophoridae,79,71,0.9859154929577465,1.0,0.8860759493670886,1.0,0.9333333333333333,1.0
torch,common_0.96,0.96,8864,Saturniidae,0,0,1.0,0.0,,0,1.0,0.0
torch,common_0.96,0.96,8865,Schreckensteiniidae,0,0,1.0,0.0,,0,1.0,0.0
torch,common_0.96,0.96,8866,Scythrididae,0,0,1.0,0.0,,0,1.0,0.0
torch,common_0.96,0.96,8868,Sphingidae,1124,861,1.0,1.0,0.7660142348754448,1.0,0.8675062972292191,1.0
torch,common_0.96,0.96,8871,Tischeriidae,0,0,1.0,0.0,,0,1.0,0.0
torch,common_0.96,0.96,8874,Yponomeutidae,13,3,0.6666666666666666,1.0,0.15384615384615385,1.0,0.25,1.0
torch,common_0.96,0.96,9408,Micropterigidae,0,0,1.0,0.0,,0,1.0,0.0
torch,common_0.96,0.96,9410,Lyonetiidae,0,0,1.0,0.0,,0,1.0,0.0
torch,common_0.96,0.96,9412,Tineidae,0,4,0.0,1.0,,0,0.0,1.0
torch,common_0.96,0.96,9541689,Meessiidae,0,0,1.0,0.0,,0,1.0,0.0
torch,common_0.96,0.96,9689,Oecophoridae,32,18,1.0,1.0,0.5625,1.0,0.72,1.0
torch,common_0.96,0.96,9717,Nolidae,191,146,1.0,1.0,0.7643979057591623,1.0,0.8664688427299703,1.0
onnx,zero,0,3528,Incurvariidae,0,6,0.0,1.0,,0,0.0,1.0
onnx,zero,0,3530,Lasiocampidae,728,616,0.939935064935065,1.0,0.7953296703296703,1.0,0.8616071428571428,1.0
onnx,zero,0,3552,Ethmiidae,48,49,0.8571428571428571,1.0,0.875,1.0,0.865979381443299,1.0
onnx,zero,0,3553,Gelechiidae,2,135,0.0,1.0,0.0,1.0,0.0,1.0
onnx,zero,0,3554,Glyphipterigidae,0,6,0.0,1.0,,0,0.0,1.0
onnx,zero,0,3556,Hepialidae,14,42,0.30952380952380953,1.0,0.9285714285714286,1.0,0.4642857142857143,1.0
onnx,zero,0,3563,Endromidae,0,1,0.0,1.0,,0,0.0,1.0
onnx,zero,0,4300664,Autostichidae,0,11,0.0,1.0,,0,0.0,1.0
onnx,zero,0,4300668,Peleopodidae,24,27,0.7407407407407407,1.0,0.8333333333333334,1.0,0.7843137254901962,1.0
onnx,zero,0,4525436,Praydidae,0,2,0.0,1.0,,0,0.0,1.0
onnx,zero,0,4525465,Argyresthiidae,0,1,0.0,1.0,,0,0.0,1.0
onnx,zero,0,4527533,Stathmopodidae,2,1,1.0,1.0,0.5,1.0,0.6666666666666666,1.0
onnx,zero,0,4528997,Lypusidae,0,7,0.0,1.0,,0,0.0,1.0
onnx,zero,0,4532185,Erebidae,15241,14480,0.9831491712707182,1.0,0.9340594449183125,1.0,0.9579758419972411,1.0
onnx,zero,0,4538,Adelidae,0,22,0.0,1.0,,0,0.0,1.0
onnx,zero,0,4542,Alucitidae,1,3,0.3333333333333333,1.0,1.0,1.0,0.5,1.0
onnx,zero,0,4554,Batrachedridae,0,4,0.0,1.0,,0,0.0,1.0
onnx,zero,0,4705755,Depressariidae,0,52,0.0,1.0,,0,0.0,1.0
onnx,zero,0,4864,Bedelliidae,0,132,0.0,1.0,,0,0.0,1.0
