model,scope,rank,cutoff,domain,class_count,truth_images_in_retained_classes,accepted_predictions_in_retained_classes,report_images,overall_coverage,accuracy,precision,recall,f1
v2,zero,genus,20,common,182,56984,48586,58640,1.0,0.8445786450365945,0.8643626549359886,0.8445786450365945,0.8381676091588163
torch,zero,genus,20,per_model,190,57639,48638,58640,1.0,0.8508484895699264,0.8654633778215377,0.8508484895699264,0.8430006758307964
torch,zero,genus,20,common,182,56984,48209,58640,1.0,0.8568681861269765,0.868294149775848,0.8568681861269765,0.8478182354988681
onnx,zero,genus,20,per_model,190,57639,48640,58640,1.0,0.8506988059950821,0.865078476895734,0.8506988059950821,0.8426656582962279
onnx,zero,genus,20,common,182,56984,48211,58640,1.0,0.8567119230543369,0.8678923301280309,0.8567119230543369,0.8474684919188242
torch-tta,zero,genus,20,per_model,191,57679,49466,58640,1.0,0.8757982151851574,0.8874148819339942,0.8757982151851574,0.8682678780741216
torch-tta,zero,genus,20,common,182,56984,48969,58640,1.0,0.8814254761776787,0.889035213147546,0.8814254761776787,0.8724320940695854
onnx-tta,zero,genus,20,per_model,191,57679,49469,58640,1.0,0.8758324841557825,0.8869192117831547,0.8758324841557825,0.8679852506887044
onnx-tta,zero,genus,20,common,182,56984,48972,58640,1.0,0.8814614397677304,0.8885150318354011,0.8814614397677304,0.8721354906046694
v2,zero,family,-1,per_model,64,58640,58640,58640,1.0,0.8440271040813301,0.2600743589223739,0.8440271040813301,0.2691037692533918
torch,zero,family,-1,per_model,60,58640,58640,58640,1.0,0.8105098078966045,0.27535126159560075,0.8105098078966045,0.28044633693466975
onnx,zero,family,-1,per_model,60,58640,58640,58640,1.0,0.8106416408810809,0.27563597431734277,0.8106416408810809,0.2807691734951072
torch-tta,zero,family,-1,per_model,60,58640,58640,58640,1.0,0.857176291043506,0.28541955682278985,0.857176291043506,0.29672977205202156
onnx-tta,zero,family,-1,per_model,60,58640,58640,58640,1.0,0.8573137738657032,0.2853888893805401,0.8573137738657032,0.2967466662087087
v2,zero,family,5,per_model,20,58635,58035,58640,1.0,0.8706311696935296,0.8042967720810082,0.8706311696935296,0.8222431727219648
v2,zero,family,5,common,20,58635,58035,58640,1.0,0.8706311696935296,0.8042967720810082,0.8706311696935296,0.8222431727219648
torch,zero,family,5,per_model,20,58635,57625,58640,1.0,0.8570862790810952,0.7593871181201356,0.8570862790810952,0.7830056774706758
torch,zero,family,5,common,20,58635,57625,58640,1.0,0.8570862790810952,0.7593871181201356,0.8570862790810952,0.7830056774706758
onnx,zero,family,5,per_model,20,58635,57629,58640,1.0,0.8572378870132431,0.7602412562853618,0.8572378870132431,0.7839741871519881
onnx,zero,family,5,common,20,58635,57629,58640,1.0,0.8572378870132431,0.7602412562853618,0.8572378870132431,0.7839741871519881
