model,preset,scope,rank,images,macro_accuracy,macro_precision,macro_recall,macro_f1,micro_accuracy,theilU,coverage
v3,north_europe_v3,all,species,58640,0.7049027989956338,0.2470742742773393,0.7049027989956338,0.2366924424645238,0.703206002728513,0.9297064107551721,1.0
v3,north_europe_v3,all,genus,58640,0.8001749661579481,0.3039724405966767,0.8001749661579481,0.30440717730876965,0.7889154160982265,0.9279675082275328,1.0
v3,north_europe_v3,all,family,58640,0.8066694596309745,0.2691352790869643,0.8066694596309745,0.27323770976338385,0.9289222373806275,0.8462890628674864,1.0
v3,north_europe_v3,known,species,50598,0.7271922155646657,0.2514163094253105,0.7271922155646657,0.24287275681309572,0.8149729238309814,0.9329194604232633,1.0
v3,north_europe_v3,known,genus,58640,0.8001749661579481,0.3039724405966767,0.8001749661579481,0.30440717730876965,0.7889154160982265,0.9279675082275328,1.0
v3,north_europe_v3,known,family,58640,0.8066694596309745,0.2691352790869643,0.8066694596309745,0.27323770976338385,0.9289222373806275,0.8462890628674864,1.0
v3,europe_v3,all,species,58640,0.6887822210592908,0.2113075222535363,0.6887822210592908,0.19747553631500298,0.6880627557980901,0.93232229829798,1.0
v3,europe_v3,all,genus,58640,0.7907835796748087,0.25581979303859764,0.7907835796748087,0.2528121859712137,0.7779160982264666,0.9297312779441991,1.0
v3,europe_v3,all,family,58640,0.804979506038197,0.25026564649749544,0.804979506038197,0.2540250081556085,0.9254945429740792,0.8384429842887284,1.0
v3,europe_v3,known,species,50598,0.7105618960334976,0.21594007329351536,0.7105618960334976,0.20308773317860726,0.7974228230364837,0.9361858273521857,1.0
v3,europe_v3,known,genus,58640,0.7907835796748087,0.25581979303859764,0.7907835796748087,0.2528121859712137,0.7779160982264666,0.9297312779441991,1.0
v3,europe_v3,known,family,58640,0.804979506038197,0.25026564649749544,0.804979506038197,0.2540250081556085,0.9254945429740792,0.8384429842887284,1.0
