model,rank,scope,threshold,accuracy,precision,recall,f1,micro_accuracy,theilU,coverage
torch-tta,family,known_optimized,0.964760661125183,0.9955823574240963,0.7393905133847496,0.700159197162577,0.6072565582310141,0.998243799167609,0.8802152497213216,0.7874327498673941
torch-tta,species,calibration_zero,0,0.768414983363882,0.4839236475497513,0.768414983363882,0.4421948505193077,0.7294941900205059,0.9589075503757323,1.0
torch-tta,genus,calibration_zero,0,0.8538124541139522,0.5172752120633655,0.8538124541139522,0.5029817114927149,0.8118591934381408,0.9605194779995736,1.0
torch-tta,family,calibration_zero,0,0.8686121025173176,0.3828841637187067,0.8686121025173176,0.39248243176721537,0.9458304853041695,0.8896158193694642,1.0
torch-tta,species,calibration_optimized,0.7392672300338745,0.8911752669559129,0.8282279025717094,0.6739933965102308,0.6307325978180464,0.8257460248311914,0.9589075503757323,0.7845181134654818
torch-tta,genus,calibration_optimized,0.869922012090683,0.9779780541665041,0.9266086911891874,0.7404661738439429,0.757396958354487,0.9128238910847607,0.9605194779995736,0.7781954887218046
torch-tta,family,calibration_optimized,0.964760661125183,0.9996369170022905,0.9496721741042599,0.7564679389414893,0.794600193920395,0.9982769760930433,0.8896158193694642,0.793403964456596
onnx-tta,species,report_zero,0,0.7408884646998294,0.3129592874854792,0.7408884646998294,0.3011494930237334,0.7322118663332575,0.9416043541781303,1.0
onnx-tta,genus,report_zero,0,0.831310673030869,0.35819829298724193,0.831310673030869,0.36048522644409975,0.8163029476396151,0.9429777628243508,1.0
onnx-tta,family,report_zero,0,0.8580571051602935,0.2856706122641368,0.8580571051602935,0.297077819405652,0.9479237705539137,0.8802934722288728,1.0
onnx-tta,species,report_optimized,0.8280269503593445,0.8755166405852203,0.7362820959348587,0.6075669492667327,0.5430735533140526,0.8355803422957866,0.9416043541781303,0.7404902629385466
onnx-tta,genus,report_optimized,0.8708856105804443,0.9629823236784678,0.8168891977985718,0.703150166196618,0.6655370235633968,0.911799848813675,0.9429777628243508,0.7768621656437069
onnx-tta,family,report_optimized,0.966471254825592,0.9955854528269081,0.7395038777892725,0.6986717712105687,0.6065093177805807,0.998285935010381,0.8802934722288728,0.7846859134651815
onnx-tta,species,known_zero,0,0.7643157679314445,0.32010697284017264,0.7643157679314445,0.31123876107268367,0.8485992798805656,0.9441435804167174,1.0
onnx-tta,genus,known_zero,0,0.8339004259063546,0.35825712113062574,0.8339004259063546,0.3610591777989773,0.8163184117301608,0.942991822846314,1.0
onnx-tta,family,known_zero,0,0.8580571051602935,0.2856706122641368,0.8580571051602935,0.297077819405652,0.9479237705539137,0.8802934722288728,1.0
onnx-tta,species,known_optimized,0.8280269503593445,0.9036381600900988,0.7641741013547309,0.6267785524056018,0.5758793313296239,0.9719676229020354,0.9441435804167174,0.7377711425309563
onnx-tta,genus,known_optimized,0.8708856105804443,0.966150028690568,0.8170652541366,0.705340665156732,0.6674178728574118,0.9118220834959032,0.942991822846314,0.7768579385075871
onnx-tta,family,known_optimized,0.966471254825592,0.9955854528269081,0.7395038777892725,0.6986717712105687,0.6065093177805807,0.998285935010381,0.8802934722288728,0.7846859134651815
onnx-tta,species,calibration_zero,0,0.7687701032394073,0.4847160695718284,0.7687701032394073,0.4430255135086433,0.7294941900205059,0.9588446607588915,1.0
onnx-tta,genus,calibration_zero,0,0.8538124541139522,0.5184639515113375,0.8538124541139522,0.5041458550744518,0.8118591934381408,0.9603409164900499,1.0
onnx-tta,family,calibration_zero,0,0.8685825691446063,0.3826107811942373,0.8685825691446063,0.39228445312410354,0.9456596035543404,0.8893754433031703,1.0
onnx-tta,species,calibration_optimized,0.8280269503593445,0.9108463773306322,0.880314153798674,0.6377095021001528,0.6324462567697632,0.8357933579335793,0.9588446607588915,0.7409432672590567
onnx-tta,genus,calibration_optimized,0.8708856105804443,0.9779606204147607,0.9266086911891874,0.7402264841524345,0.7572256161677625,0.912967032967033,0.9603409164900499,0.777511961722488
onnx-tta,family,calibration_optimized,0.966471254825592,0.9996735638566714,0.9496688607549484,0.7548837775873369,0.7935862907114528,0.9984868136619109,0.8893754433031703,0.790498974709501
