variant,preset,scope,rank,images,accuracy,precision,recall,f1,micro_accuracy,theilU,coverage
V3 FP32 reference,north_europe,known,species,50598,0.734892620227344,0.2677964216559137,0.734892620227344,0.2609164468790569,0.8204079212617099,0.9313037775676971,1.0
V3 FP32 reference,north_europe,known,genus,58639,0.8079160881300739,0.31884970853060046,0.8079160881300739,0.3212438169069074,0.7936867954774126,0.9270916152069156,1.0
V3 FP32 reference,north_europe,known,family,58640,0.8106383132501974,0.27544229106153234,0.8106383132501974,0.2805840235220709,0.9298090040927695,0.8488942298912809,1.0
V3 FP32 reference,europe,all,species,58640,0.6906121581308468,0.2125866053945616,0.6906121581308468,0.19931852384419554,0.6894952251023192,0.9327740860469433,1.0
V3 FP32 reference,europe,all,genus,58640,0.7927684087442151,0.25792706709688445,0.7927684087442151,0.25548534308971915,0.7793656207366985,0.930377596554077,1.0
V3 FP32 reference,europe,all,family,58640,0.8061650335232657,0.25177044612587207,0.8061650335232657,0.25562321183354897,0.9286323328785812,0.8415003084731356,1.0
V3 FP32 reference,europe,known,species,50598,0.7124496967278696,0.21701009331649532,0.7124496967278696,0.20477619736063515,0.7990829677062334,0.9361501370706838,1.0
V3 FP32 reference,europe,known,genus,58640,0.7927684087442151,0.25792706709688445,0.7927684087442151,0.25548534308971915,0.7793656207366985,0.930377596554077,1.0
V3 FP32 reference,europe,known,family,58640,0.8061650335232657,0.25177044612587207,0.8061650335232657,0.25562321183354897,0.9286323328785812,0.8415003084731356,1.0
V3 FP32 reference,full,all,species,58640,0.5802757153882665,0.11912807276515047,0.5802757153882665,0.09709532327738142,0.5843281036834925,0.9381503100112119,1.0
V3 FP32 reference,full,all,genus,58640,0.7133531076261048,0.139300115626279,0.7133531076261048,0.12672892757582832,0.7058321964529332,0.927961126268096,1.0
V3 FP32 reference,full,all,family,58640,0.7851379223252065,0.18846238515501548,0.7851379223252065,0.19392386150040025,0.903137789904502,0.803447959660008,1.0
V3 FP32 reference,full,known,species,50598,0.5986243546100299,0.1233403630154899,0.5986243546100299,0.10055972949058657,0.6772006798687695,0.9436554162021304,1.0
V3 FP32 reference,full,known,genus,58640,0.7133531076261048,0.139300115626279,0.7133531076261048,0.12672892757582832,0.7058321964529332,0.927961126268096,1.0
V3 FP32 reference,full,known,family,58640,0.7851379223252065,0.18846238515501548,0.7851379223252065,0.19392386150040025,0.903137789904502,0.803447959660008,1.0
V3 FP32 reference,north_europe_v3,all,species,58640,0.7049027989956338,0.2470742742773393,0.7049027989956338,0.2366924424645238,0.703206002728513,0.9297064107551721,1.0
V3 FP32 reference,north_europe_v3,all,genus,58640,0.8001749661579481,0.3039724405966767,0.8001749661579481,0.30440717730876965,0.7889154160982265,0.9279675082275328,1.0
V3 FP32 reference,north_europe_v3,all,family,58640,0.8066694596309745,0.2691352790869643,0.8066694596309745,0.27323770976338385,0.9289222373806275,0.8462890628674864,1.0
V3 FP32 reference,north_europe_v3,known,species,50598,0.7271922155646657,0.2514163094253105,0.7271922155646657,0.24287275681309572,0.8149729238309814,0.9329194604232633,1.0
V3 FP32 reference,north_europe_v3,known,genus,58640,0.8001749661579481,0.3039724405966767,0.8001749661579481,0.30440717730876965,0.7889154160982265,0.9279675082275328,1.0
V3 FP32 reference,north_europe_v3,known,family,58640,0.8066694596309745,0.2691352790869643,0.8066694596309745,0.27323770976338385,0.9289222373806275,0.8462890628674864,1.0
V3 FP32 reference,europe_v3,all,species,58640,0.6887822210592908,0.2113075222535363,0.6887822210592908,0.19747553631500298,0.6880627557980901,0.93232229829798,1.0
V3 FP32 reference,europe_v3,all,genus,58640,0.7907835796748087,0.25581979303859764,0.7907835796748087,0.2528121859712137,0.7779160982264666,0.9297312779441991,1.0
V3 FP32 reference,europe_v3,all,family,58640,0.804979506038197,0.25026564649749544,0.804979506038197,0.2540250081556085,0.9254945429740792,0.8384429842887284,1.0
V3 FP32 reference,europe_v3,known,species,50598,0.7105618960334976,0.21594007329351536,0.7105618960334976,0.20308773317860726,0.7974228230364837,0.9361858273521857,1.0
V3 FP32 reference,europe_v3,known,genus,58640,0.7907835796748087,0.25581979303859764,0.7907835796748087,0.2528121859712137,0.7779160982264666,0.9297312779441991,1.0
V3 FP32 reference,europe_v3,known,family,58640,0.804979506038197,0.25026564649749544,0.804979506038197,0.2540250081556085,0.9254945429740792,0.8384429842887284,1.0
V3 PyTorch FP16,north_europe,all,species,58640,0.7124755690715492,0.2634270457338045,0.7124755690715492,0.25428952382168735,0.7078274215552524,0.928300449968092,1.0
V3 PyTorch FP16,north_europe,all,genus,58640,0.8053483819748223,0.31893660877341173,0.8053483819748223,0.3204124099108478,0.7936903137789905,0.9269683891259273,1.0
V3 PyTorch FP16,north_europe,all,family,58640,0.8105098078966045,0.27535126159560075,0.8105098078966045,0.2804463369346697,0.9296896316507504,0.848717056770075,1.0
V3 PyTorch FP16,north_europe,known,species,50598,0.7350044408208473,0.2676065928162877,0.7350044408208473,0.2606923077861283,0.8203288667536266,0.9313351406548803,1.0
V3 PyTorch FP16,north_europe,known,genus,58639,0.8078572554389183,0.31896401442542444,0.8078572554389183,0.32088253381207055,0.7937038489742322,0.9269818797430123,1.0
V3 PyTorch FP16,north_europe,known,family,58640,0.8105098078966045,0.27535126159560075,0.8105098078966045,0.2804463369346697,0.9296896316507504,0.848717056770075,1.0
V3 PyTorch FP16,europe,all,species,58640,0.6904573601499047,0.21308377178370788,0.6904573601499047,0.19974835307971503,0.6894270122783083,0.9327685730735747,1.0
V3 PyTorch FP16,europe,all,genus,58640,0.7927569371584571,0.2577674325030351,0.7927569371584571,0.25521877922468866,0.7794167803547067,0.9303872077924281,1.0
V3 PyTorch FP16,europe,all,family,58640,0.8061547662632332,0.2517251364434932,0.8061547662632332,0.2555840946637753,0.9285300136425648,0.8414042795502794,1.0
V3 PyTorch FP16,europe,known,species,50598,0.7122900039491111,0.21751022464426337,0.7122900039491111,0.2052193214139764,0.7990039131981501,0.9362130669456851,1.0
V3 PyTorch FP16,europe,known,genus,58640,0.7927569371584571,0.2577674325030351,0.7927569371584571,0.25521877922468866,0.7794167803547067,0.9303872077924281,1.0
V3 PyTorch FP16,europe,known,family,58640,0.8061547662632332,0.2517251364434932,0.8061547662632332,0.2555840946637753,0.9285300136425648,0.8414042795502794,1.0
V3 PyTorch FP16,full,all,species,58640,0.5800914186056899,0.11941327816354223,0.5800914186056899,0.09729142790239681,0.5842087312414734,0.9380984507134764,1.0
V3 PyTorch FP16,full,all,genus,58640,0.7129759960732965,0.1394431837512301,0.7129759960732965,0.1268067151804599,0.7057128240109141,0.9278203586503335,1.0
V3 PyTorch FP16,full,all,family,58640,0.784246040298466,0.1882961794945315,0.784246040298466,0.19361355430273816,0.9029502046384721,0.8029884477926725,1.0
V3 PyTorch FP16,full,known,species,50598,0.5984342302612058,0.12352484541958572,0.5984342302612058,0.10067516090358233,0.6770623344796237,0.9436338812191157,1.0
V3 PyTorch FP16,full,known,genus,58640,0.7129759960732965,0.1394431837512301,0.7129759960732965,0.1268067151804599,0.7057128240109141,0.9278203586503335,1.0
V3 PyTorch FP16,full,known,family,58640,0.784246040298466,0.1882961794945315,0.784246040298466,0.19361355430273816,0.9029502046384721,0.8029884477926725,1.0
V3 PyTorch FP16,north_europe_v3,all,species,58640,0.704628249754435,0.24730856379330513,0.704628249754435,0.2368364750172347,0.7031548431105048,0.9297081356830714,1.0
V3 PyTorch FP16,north_europe_v3,all,genus,58640,0.8000993660812793,0.30404516864512815,0.8000993660812793,0.30405829620707303,0.7888472032742155,0.9278811825938204,1.0
V3 PyTorch FP16,north_europe_v3,all,family,58640,0.8066151835359162,0.26911334290120537,0.8066151835359162,0.27317213148165537,0.9288540245566167,0.8463131556985152,1.0
V3 PyTorch FP16,north_europe_v3,known,species,50598,0.7269089849245357,0.2516551965945558,0.7269089849245357,0.24302911458287843,0.8149136329499189,0.9329238752080722,1.0
V3 PyTorch FP16,north_europe_v3,known,genus,58640,0.8000993660812793,0.30404516864512815,0.8000993660812793,0.30405829620707303,0.7888472032742155,0.9278811825938204,1.0
V3 PyTorch FP16,north_europe_v3,known,family,58640,0.8066151835359162,0.26911334290120537,0.8066151835359162,0.27317213148165537,0.9288540245566167,0.8463131556985152,1.0
V3 PyTorch FP16,europe_v3,all,species,58640,0.6886240058738285,0.21178593938637336,0.6886240058738285,0.1978902721150327,0.6879945429740791,0.9323203923796567,1.0
V3 PyTorch FP16,europe_v3,all,genus,58640,0.7907596138745981,0.25597447312765065,0.7907596138745981,0.25283249885833836,0.7779331514324693,0.9297196214314329,1.0
V3 PyTorch FP16,europe_v3,all,family,58640,0.804801469829159,0.25018741937505296,0.804801469829159,0.25394065720716125,0.9252899045020464,0.8382838670363196,1.0
V3 PyTorch FP16,europe_v3,known,species,50598,0.7103986779963212,0.2164221653533803,0.7103986779963212,0.20351606400355202,0.7973437685284004,0.9362292436999937,1.0
V3 PyTorch FP16,europe_v3,known,genus,58640,0.7907596138745981,0.25597447312765065,0.7907596138745981,0.25283249885833836,0.7779331514324693,0.9297196214314329,1.0
V3 PyTorch FP16,europe_v3,known,family,58640,0.804801469829159,0.25018741937505296,0.804801469829159,0.25394065720716125,0.9252899045020464,0.8382838670363196,1.0
V3 ONNX TF32,north_europe,all,species,58640,0.7123551106111988,0.2634302800489512,0.7123551106111988,0.25432102340018437,0.7078444747612551,0.9282787583085454,1.0
V3 ONNX TF32,north_europe,all,genus,58640,0.805001260196705,0.3188298295664697,0.805001260196705,0.3212342539755369,0.7936221009549795,0.9270081304640697,1.0
V3 ONNX TF32,north_europe,all,family,58640,0.8106416408810809,0.27563597431734277,0.8106416408810809,0.28076917349510716,0.9298601637107776,0.8488811049574605,1.0
V3 ONNX TF32,north_europe,known,species,50598,0.7348801733973236,0.26759865685833206,0.7348801733973236,0.26071387372659355,0.8203486303806474,0.931297601666784,1.0
V3 ONNX TF32,north_europe,known,genus,58639,0.8075090522845452,0.31885723521848236,0.8075090522845452,0.32170684925385246,0.7936356349869541,0.9270216229111814,1.0
V3 ONNX TF32,north_europe,known,family,58640,0.8106416408810809,0.27563597431734277,0.8106416408810809,0.28076917349510716,0.9298601637107776,0.8488811049574605,1.0
V3 ONNX TF32,europe,all,species,58640,0.6906260019361401,0.21297537840475272,0.6906260019361401,0.19968247097445052,0.6894952251023192,0.9327107183368355,1.0
V3 ONNX TF32,europe,all,genus,58640,0.7928148275159873,0.25814705246049136,0.7928148275159873,0.2556792223856105,0.7794338335607094,0.9303898466600729,1.0
V3 ONNX TF32,europe,all,family,58640,0.8063031248841592,0.25176260717979065,0.8063031248841592,0.25564879210539354,0.928581173260573,0.8413915880115065,1.0
V3 ONNX TF32,europe,known,species,50598,0.712463978281947,0.21739674629675512,0.712463978281947,0.2051505331795797,0.7990829677062334,0.9360902428349954,1.0
V3 ONNX TF32,europe,known,genus,58640,0.7928148275159873,0.25814705246049136,0.7928148275159873,0.2556792223856105,0.7794338335607094,0.9303898466600729,1.0
V3 ONNX TF32,europe,known,family,58640,0.8063031248841592,0.25176260717979065,0.8063031248841592,0.25564879210539354,0.928581173260573,0.8413915880115065,1.0
V3 ONNX TF32,full,all,species,58640,0.5803258635150937,0.11940183392320727,0.5803258635150937,0.09730444648358827,0.5842769440654844,0.9381877433883671,1.0
V3 ONNX TF32,full,all,genus,58640,0.7132927172304062,0.139506013324115,0.7132927172304062,0.12688882216850472,0.7058321964529332,0.9279129375668055,1.0
V3 ONNX TF32,full,all,family,58640,0.7842061134551048,0.18845606769929624,0.7842061134551048,0.1937730887900641,0.9030695770804912,0.8032163508659165,1.0
V3 ONNX TF32,full,known,species,50598,0.5986760884483774,0.12359009712973944,0.5986760884483774,0.10075026693576739,0.677141388987707,0.9437018925013999,1.0
V3 ONNX TF32,full,known,genus,58640,0.7132927172304062,0.139506013324115,0.7132927172304062,0.12688882216850472,0.7058321964529332,0.9279129375668055,1.0
V3 ONNX TF32,full,known,family,58640,0.7842061134551048,0.18845606769929624,0.7842061134551048,0.1937730887900641,0.9030695770804912,0.8032163508659165,1.0
V3 ONNX TF32,north_europe_v3,all,species,58640,0.70490721102182,0.24693597388838318,0.70490721102182,0.23654830838429805,0.703206002728513,0.9297283074523651,1.0
V3 ONNX TF32,north_europe_v3,all,genus,58640,0.7998011634423278,0.304018206726156,0.7998011634423278,0.3048604148769131,0.7889324693042292,0.9279871144012297,1.0
V3 ONNX TF32,north_europe_v3,all,family,58640,0.8066719936597678,0.26915209911986615,0.8066719936597678,0.2732530547620374,0.9289392905866303,0.8462225486926431,1.0
V3 ONNX TF32,north_europe_v3,known,species,50598,0.7271967671015613,0.2512627097909782,0.7271967671015613,0.24271540486034088,0.8149729238309814,0.9329324973505538,1.0
V3 ONNX TF32,north_europe_v3,known,genus,58640,0.7998011634423278,0.304018206726156,0.7998011634423278,0.3048604148769131,0.7889324693042292,0.9279871144012297,1.0
V3 ONNX TF32,north_europe_v3,known,family,58640,0.8066719936597678,0.26915209911986615,0.8066719936597678,0.2732530547620374,0.9289392905866303,0.8462225486926431,1.0
V3 ONNX TF32,europe_v3,all,species,58640,0.6887960648645841,0.21168953424574674,0.6887960648645841,0.19783273588838454,0.6880627557980901,0.9322918377735964,1.0
V3 ONNX TF32,europe_v3,all,genus,58640,0.7908120470589387,0.2560315293300679,0.7908120470589387,0.2529767781457853,0.7779672578444747,0.9297404742905871,1.0
V3 ONNX TF32,europe_v3,all,family,58640,0.805164255187583,0.25025960445781553,0.805164255187583,0.2540572988243291,0.9254774897680764,0.838470274037207,1.0
V3 ONNX TF32,europe_v3,known,species,50598,0.710576177587575,0.21632075786236368,0.710576177587575,0.2034558161613722,0.7974228230364837,0.9361375391213514,1.0
V3 ONNX TF32,europe_v3,known,genus,58640,0.7908120470589387,0.2560315293300679,0.7908120470589387,0.2529767781457853,0.7779672578444747,0.9297404742905871,1.0
V3 ONNX TF32,europe_v3,known,family,58640,0.805164255187583,0.25025960445781553,0.805164255187583,0.2540572988243291,0.9254774897680764,0.838470274037207,1.0
