environment_id,variant,device,trial,preset,batch_size,images,images_per_second,seconds
j-12402286-job-0,torch,cuda:0,trial-1-torch-cuda-0,full,256,1024,624.8821454763469,"[1.6678844741545618, 1.63870900683105, 1.3959779811557382]"
j-12402286-job-0,torch,cuda:0,trial-1-torch-cuda-0,north_europe,256,1024,660.7434552564797,"[1.6962513069156557, 1.4128376580774784, 1.549769417848438]"
j-12402286-job-0,torch,cpu,trial-2-torch-cpu,full,8,1024,33.77712455072364,"[30.412344111828133, 30.316375760827214, 30.313768835971132]"
j-12402286-job-0,torch,cpu,trial-2-torch-cpu,north_europe,8,1024,34.90248137459078,"[28.671414472861215, 29.965245082974434, 29.33888823003508]"
j-12402286-job-0,onnx,cpu,trial-2-onnx-cpu,full,8,1024,37.398608869274646,"[27.90463216905482, 27.328506266931072, 27.38069759705104]"
j-12402286-job-0,onnx,cpu,trial-2-onnx-cpu,north_europe,8,1024,37.35046048678505,"[27.334079992957413, 27.50279205595143, 27.415993983857334]"
j-12402286-job-0,torch-tta,cpu,trial-2-torch-tta-cpu,full,8,1024,10.974689425392665,"[90.90350299398415, 94.55241905595176, 93.30560167203657]"
j-12402286-job-0,torch-tta,cpu,trial-2-torch-tta-cpu,north_europe,8,1024,11.236805637224117,"[91.85084778792225, 91.12910137092695, 89.62535597500391]"
j-12402286-job-0,onnx-tta,cpu,trial-2-onnx-tta-cpu,full,8,1024,12.674192128337234,"[79.93258225917816, 80.79410424199887, 83.54928972292691]"
j-12402286-job-0,onnx-tta,cpu,trial-2-onnx-tta-cpu,north_europe,8,1024,12.318173490485412,"[81.82937749195844, 83.39652918488719, 83.12920749094337]"
j-12402286-job-0,torch,cuda:0,trial-2-torch-cuda-0,full,256,1024,602.551311029026,"[1.699440331896767, 1.7066811660770327, 1.6270493438933045]"
j-12402286-job-0,torch,cuda:0,trial-2-torch-cuda-0,north_europe,256,1024,665.9971522368938,"[1.7486076559871435, 1.345568273914978, 1.5375441119540483]"
j-12402286-job-0,onnx,cuda:0,trial-2-onnx-cuda-0,full,256,1024,534.1732952570765,"[1.9169808919541538, 1.766346275107935, 1.9942841969896108]"
j-12402286-job-0,onnx,cuda:0,trial-2-onnx-cuda-0,north_europe,256,1024,609.4847832527348,"[1.6801075730472803, 1.6768436080310494, 1.6913127771113068]"
j-12402286-job-0,torch-tta,cuda:0,trial-2-torch-tta-cuda-0,full,256,1024,212.92829863859407,"[4.809130616020411, 4.391952194040641, 5.296736722113565]"
j-12402286-job-0,torch-tta,cuda:0,trial-2-torch-tta-cuda-0,north_europe,256,1024,196.22635814432056,"[5.218463052995503, 5.365933086024597, 5.179876493057236]"
j-12402286-job-0,onnx-tta,cuda:0,trial-2-onnx-tta-cuda-0,full,256,1024,208.15033145920478,"[4.893261830089614, 4.919521351810545, 5.14984557707794]"
j-12402286-job-0,onnx-tta,cuda:0,trial-2-onnx-tta-cuda-0,north_europe,256,1024,205.2013555896214,"[4.872062952956185, 4.990220444975421, 5.018525517079979]"
